AURA_DRAIN_PER	Emiþ bonusu %.1f%%
ALIGN_BONUS_GOOD_8_A	Yükselen Maks HP: +5000
ALIGN_BONUS_GOOD_8_B	Canavarlara Karþý Güç: +%20
ALIGN_BONUS_GOOD_8_C	Metin Taþlarýna Karþý Güç: +%20
ALIGN_BONUS_GOOD_7_A	Yükselen Maks HP: +3000
ALIGN_BONUS_GOOD_7_B	Canavarlara Karþý Güç: +%18
ALIGN_BONUS_GOOD_6_A	Yükselen Maks HP: +2500
ALIGN_BONUS_GOOD_6_B	Canavarlara Karþý Güç: +%16
ALIGN_BONUS_GOOD_5_A	Yükselen Maks HP: +2000
ALIGN_BONUS_GOOD_5_B	Canavarlara Karþý Güç: +%14
ALIGN_BONUS_GOOD_4_A	Yükselen Maks HP: +1500
ALIGN_BONUS_GOOD_4_B	Canavarlara Karþý Güç:: +%12
ALIGN_BONUS_GOOD_3_A	Yükselen Maks HP: +1000
ALIGN_BONUS_GOOD_3_B	Canavarlara Karþý Güç: +%10
ALIGN_BONUS_GOOD_2_A	Yükselen Maks HP: +750
ALIGN_BONUS_GOOD_2_B	Canavarlara Karþý Güç: +%5
ALIGN_BONUS_GOOD_1_A	Yükselen Maks HP: +500
ALIGN_BONUS_GOOD_1_B	Canavarlara Karþý Güç: +%3
PVP_MODE_GUILD	PvP - Lonca etkinleþtirildi
PVP_MODE_KILL	PvP - Serbest etkinleþtirildi
PVP_MODE_NORMAL	PvP - Barýþ etkinleþtirildi.
PVP_MODE_PROTECT	PvP - Koruma etkinleþtirildi.
PVP_MODE_REVENGE	PvP - Düþman etkinleþtirildi
PVP_OPTION_KILL	Serbest
PVP_OPTION_NORMAL	Barýþ
PVP_OPTION_PROTECT	Koruma
PVP_OPTION_REVENGE	Düþmanca
QUEST_APPEND	Yeni görev geldi.
QUEST_MIN	Dk.
QUEST_SEC	Sn.
QUEST_TIMEOVER	Zaman doldu.
QUEST_UNLIMITED_TIME	Zaman sýnýrý yok.
QUEST_ZEROSEC	0 sn.
QUICK_GAME_END	Oyunu kapatmak istiyor musun?
QUICKSLOT_REGISTER_DISABLE_ITEM	Bu nesne hýzlý eriþim alanýna eklenemez.
REBORN_NON_ACTIVATED	Uyanýþ aktif edilmemiþ. (120. seviyeden sonra aktif edilebilir.)
REBORN_VAL1_A	Uyanýþ Bonusu(1): +1000 Maks HP Alýndý.
REBORN_VAL1_B	Uyanýþ Bonusu(2): +10 Canavarlara Karþý Hasar Alýndý.
REBORN_VAL1_C	Uyanýþ Bonusu(3): +5 Yarý Ýnsanlara Karþý Hasar Alýndý.
REBORN_VAL2_A	Uyanýþ Bonusu(1): +3000 Maks HP Alýndý.
REBORN_VAL2_B	Uyanýþ Bonusu(2): +30 Canavarlara Karþý Hasar Alýndý.
REBORN_VAL2_C	Uyanýþ Bonusu(3): +15 Yarý Ýnsanlara Karþý Hasar Alýndý.
REBORN_VAL3_A	Uyanýþ Bonusu(1): +6000 Maks HP Alýndý.
REBORN_VAL3_B	Uyanýþ Bonusu(2): +50 Canavarlara Karþý Hasar Alýndý.
REBORN_VAL3_C	Uyanýþ Bonusu(3): +35 Yarý Ýnsanlara Karþý Hasar Alýndý.
RECEIVE_MESSAGE	%s mesaj gönderdi.
REFINE_COST	Yükseltme bedeli: %d Yang
REFINE_DESTROY_WARNING	Eþya arýndýrýlýrken yok olabilir.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Bu nesneyi gerçekten yükseltmek istiyor musun?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	Hata vermesi durumunda nesne yok olur. Devam etmek istiyor musun?
REFINE_DOWN_GRADE_WARNING	Eþyanýn arýndýrýlýrken deðeri düþebilir.
REFINE_DO_YOU_SEPARATE_METIN	Mevcut olan tüm zihin taþlarý çýkarýlsýn mý?
REFINE_FAILURE	Tüh, olmadý. Beceremedik.
REFINE_FAILURE_CAN_NOT_ATTACH	Bu nesneye %s katamazsýn.
REFINE_FAILURE_CAN_NOT_ATTACH0	Bu nesneye %s katamazsýn.
REFINE_FAILURE_EQUIP_ITEM	Kullanýlmakta olan nesneleri geliþtiremezsin.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Çýkarabileceðiniz zihin taþý yok.
REFINE_FAILURE_NEED_BETTER_SCROLL	Daha iyi bir yükseltme Rolesine ihtiyacýnýz var.
REFINE_FAILURE_NO_GOLD_SOCKET	Burada %s eklemek için altýn yuva yok.
REFINE_FAILURE_NO_GOLD_SOCKET0	Burada %s eklemek için altýn yuva yok.
REFINE_FAILURE_NO_MORE_SOCKET	Daha fazla slot ekleyemezsin.
REFINE_FAILURE_NO_SOCKET0	%s eklemek için boþ slot yok.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Bu nesneye slot ekleyemezsin.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Bu nesne yükseltilemez.
REFINE_FAILURE_DEL_ITEM	Arýndýrma baþarýlý olmadý. Nesne yok oldu.
REFINE_FAILURE_GRADE_DOWN	Arýndýrma baþarýlý olmadý. Nesnenin derecesi düþtü.
REFINE_FAILURE_KEEP_GRADE	Arýndýrma baþarýlý olmadý. Neyse ki nesneye bir þey olmadý.
REFINE_SUCCESS	Nesnenin yükseltilmesi baþarýyla tamamlandý.
REFINE_SUCCESS_PROBALITY	Yükseltme þansý %%%d
REFINE_WARNING2	Devam etmek istiyor musun?
REFINE_ERROR_ADD_PERC_STONES	Taþlarýn baþarý yüzdesini arttýrmak için iksir ekleyemezsin.
REFINE_COST_UPGRADE	Yükseltme ücreti
REFINE_CURRENT_ITEM	Varolan nesne
REFINE_NEXT_ITEM	Yeni nesne
REFINE_NEED_ITEMS	Yükseltme için gerekli malzemeler
REFINE_PERCENTAGE_LOW	+5%
REFINE_PERCENTAGE_MEDIUM	+10%
REFINE_PERCENTAGE_EXTRA	+15%
REFINE_CURRENT_PERCENTAGE	Yükseltme oraný: %d%%
REFINE_INCREASE_PERCENTAGE	[Ekstra + %d%%]
REFINE_TOOLTIP_ITEM_DESCRIPTION_1	Metin2 bir þans oyunudur. Oyundaki hemen hemen herþey þans baðlýdýr.
REFINE_TOOLTIP_ITEM_DESCRIPTION_2	Bunun en büyük örneði aslýnda yükseltme sistemidir. Her oyuncu kýlýcýný, zýrhýsý veya aksesuarýný yükseltirken hayal kýrýklýðýna uðramýþtýr.
REFINE_TOOLTIP_ITEM_DESCRIPTION_3	Bu iksir ile yükseltme þansýnýzý +%d%% arttýracaksýnýz.
REFINE_TOOLTIP_ITEM_DESCRIPTION_4	[Kullanýlabilir]
REFINE_ERROR_ITEM_VNUM	Bu nesneyi ekleyemezsin.
REFINE_ERROR_ITEM_COUNT	Sadece bir tane ekleyebilirsin.
REFINE_ERROR_ITEM_OVERFLOW_PERCENTAGE	Yükseltme þansý %100 ve üzeriyse bunu yapamazsýn.
REFINE_DESTROY_WARNING	Eþya yükseltilirken yok olabilir.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Bunlar iyileþtirme yapýlarak yükseltilecek,
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	fakat hata vermesi durumunda nesne yok olabilir. Devam etmek istiyor musunuz?
SAFEBOX_ERROR	Yanlýþ þifre girdin.
SAFEBOX_SELL_DISABLE_SAFEITEM	Korumalý nesneleri satamazsýnýz.
SAFEBOX_WRONG_PASSWORD	Þifre ayný olmalý.
SAFEBOX_MONEY_QUESTION_DIALOG_TEXT	Ne yapmak istiyorsun ?
SAFEBOX_SAVE	Yatýrým
SAFEBOX_WITHDRAW	Tahsilat
SASH_REFINE_COST	Absorbe Ücreti: %d
SASH_ABSORB_CHANCE	Emiþ Bonusu: %d%%
SASH_ABSORB_CHANCE2	Emiþ Bonusu: %d%% ~ %d%%
SASH_DO_YOU_CLEAN	Tüm bonuslarý temizlemek istediðine emin misin?
SASH_FAILURE_CLEAN	Herhangi bir bonus bulunamadý.
SASH_DEL_SERVEITEM	Kombinasyon baþarýsýz olursa kuþak 2 yokolur.
SASH_DEL_ABSORDITEM	Absorbe iþlemi ekipmaný siler kabul ediyor musun?
SCREENSHOT_SAVE1	Ekran Görüntüsü
SCREENSHOT_SAVE2	Dosyasý Kaydedildi
SCREENSHOT_SAVE_FAILURE	Ekran görüntüsü kaydý yapýlamadý.
SECOND	sn
SELECT_CAN_NOT_DELETE	Karakteri silemezsin.
SELECT_CHANGED_NAME	Karakterin adýný deðiþtirdin
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Bu karakter adý kullanýlýyor
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Tekrar dene.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Bunu
SELECT_CHANGE_NAME_TITLE	Karakter adýný deðiþtir
SELECT_DELEING	Karakter silinecek.
SELECT_DELETED	Baþarýyla silindi.
SELECT_DO_YOU_DELETE_REALLY	Devam etmek istiyor musun?
SELECT_EMPTY_SLOT	Bu boþ bir alan.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Yeni karakter adý gir.
SELECT_NOT_JOIN_GUILD	Lonca yok
SELECT_YES_GUILD	Lonca: %s
SHOP_BUY_INFO	Market penceresinden satýn almak istediðin nesneyi seç.
SHOP_CANNOT_SELL_EQUIPMENT	Kullanýlmakta olan nesneleri satamazsýn.
SHOP_CANNOT_SELL_ITEM	Bu eþya satýlamaz.
SHOP_ERROR_UNKNOWN	Bilinmeyen market hatasý: %s
SHOP_INVALID_POS	Bu eþya burada kullanýlamaz.
SHOP_INVENTORY_FULL	Envanterde boþ alan yok.
SHOP_NOT_ENOUGH_MONEY	Yeterli Won veya Yang yok
SHOP_NOT_ENOUGH_MONEY_EX	Yeterli Yang'a sahip deðilsin.
SHOP_NOT_ENOUGH_YEAR_ROUND_COIN	Yeterli Yýl Dönümü parasýna sahip deðilsin.
SHOP_NOT_ENOUGH_CHEQUE	Yeterli Won'a sahip deðilsin.
SHOP_NOT_ENOUGH_GAYA_POINT	Yeterli Gaya'ya sahip deðilsin.
SHOP_NOT_ENOUGH_ZODIAC_POINT	Yeterli Zodyak Puanýna sahip deðilsin.
SHOP_NOT_ENOUGH_WORSHIP_POINT	Yeterli Ýbadet Puanýna sahip deðilsin.
SHOP_NOT_ENOUGH_EXP	Yeterli Tecrübe Puanýna sahip deðilsin.
SHOP_NOT_ENOUGH_DRAGON_COIN	Yeterli Ejderha Parasýna sahip deðilsin.
SHOP_NOT_ENOUGH_DRAGON_MARK	Yeterli Ejderha Markasýna sahip deðilsin.
SHOP_MAX_COUNT	Bu eþyadan sadece 1 adet bulundurabilirsin.
SHOP_NOT_ENOUGH_MONEY_EX	Yeterli Myte Jetonuna sahip deðilsin.
SHOP_NOT_ENOUGH_ITEM	Yeterli Nesne'ye sahip deðilsin.
SHOP_SELL_INFO	Envanter penceresinden satmak istediðin nesneyi seç.
SHOP_SOLDOUT	Satýldý
SHOP_SEEN_TEXT	 Kiþi bu pazara baktý!
SHOP_DECORATION_ITEM_NULL	Kaþmir paketine sahip deðilsin.
SHOT_ERROR_UNKNOWN	Uzaktan saldýrý esnasýnda belirsiz hata: %s
SKILL_BLEEDING	Kanama
SKILL_BOHO	Yansýtma
SKILL_BUDONG	Henüz kullanýlamaz
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Bu beceriyi öðrenmek için EXP e ihtiyacýn var.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Bu beceriyi ögrenmek için bir kitaba ihtiyacýn var.
SKILL_CHEONGEUN	Güçlü Beden
SKILL_CRITICAL	Kritik Vuruþ
SKILL_ENCHANT_POISON	Zehir Uygulama
SKILL_EUNHYEONG	Kamuflaj
SKILL_FAINT	Sersemletme
SKILL_FIND_TRAP	Tuzak Kurma
SKILL_FIRE	Sürekli Ateþ
SKILL_FISHMIND	Balýkçýlýk Küresi etkin
SKILL_GAMJI	Yakalama
SKILL_GEOMGYEONG	Hava Kýlýcý
SKILL_GEONGON	SKILL_GEONGON Henüz kullanýlamaz
SKILL_GICHEON	Ejderha Yardýmý
SKILL_GIGONG	Chi Dönüþü
SKILL_GONGPO	Dehþet
SKILL_GRADE_NAME_GRAND_MASTER	%s Grand Master
SKILL_GRADE_NAME_MASTER	%s Master
SKILL_GRADE_NAME_PERFECT_MASTER	%s Perfect Master
SKILL_GROUP_ASSASSIN_1	Býçak
SKILL_GROUP_ASSASSIN_2	Ok
SKILL_GROUP_HORSE	Binicilik
SKILL_GROUP_SHAMAN_1	EjderGücü
SKILL_GROUP_SHAMAN_2	Iyileþtirme
SKILL_GROUP_SURA_1	Silah
SKILL_GROUP_SURA_2	Kara Büyü
SKILL_GROUP_WARRIOR_1	Bedensel
SKILL_GROUP_WARRIOR_2	Zihinsel
SKILL_GWIGEOM	Büyülü Silah
SKILL_GYEONGGONG	Hafif Adým
SKILL_HEUKSIN	Karanlýk Koruma
SKILL_HOSIN	Kutsama
SKILL_HWAYEOM	SKILL_HWAYEOM Kullanýlamaz.
SKILL_HYEOLMA	SKILL_HYEOLMA Kullanýlamaz.
SKILL_INC_ATKSPD	Saldýrý hýzý arttýrýldý
SKILL_INC_MOVSPD	Hareket hýzý arttýrýldý
SKILL_INMA	SKILL_INMA Kullanýlamaz.
SKILL_JEOJU	Lanet
SKILL_JEONGEOP	Ýyileþtirme
SKILL_JEONGWI	Öfke
SKILL_JEONSINBANGEO	Maksimum Defans
SKILL_JEONSINGONGGYEOK	Maksimum Saldýrý
SKILL_JEUNGCHE	SKILL_JEUNGCHE Kullanýlamaz.
SKILL_JEUNGHON	SKILL_JEUNGHON Kullanýlamaz.
SKILL_JEUNGRYEOK	Atak +
SKILL_JEUNGSOK	Hýz +
SKILL_JIGAM	SKILL_JIGAM Kullanýlamaz.
SKILL_JIPJUNG	SKILL_JIPJUNG Kullanýlamaz.
SKILL_JUMAGAP	Büyülü Zýrh
SKILL_JUMAGEOM	SKILL_JUMAGEOM Kullanýlamaz
SKILL_KWAEGEOM	SKILL_KWAEGEOM Kullanýlamaz
SKILL_KWAESOK	Hýz
SKILL_LEGBOUND	SKILL_LEGBOUND Kullanýlamaz
SKILL_MUSA	SKILL_MUSA Kullanýlamaz.
SKILL_MUYEONG	Ateþ Hayaleti
SKILL_NEED_EMPTY_BOTTLE	Boþ þiþem yok.
SKILL_NEED_POISON_BOTTLE	Zehir þiþem yok.
SKILL_ONLY_FOR_GUILD_WAR	Bu beceriyi sadece Lonca Savaþý sýrasýnda kullanabilirsin.
SKILL_PABEOP	Büyü Çözme
SKILL_POWERFUL_STRIKE	Sersemletici Saldýrý
SKILL_SEOMGWANG	Þimþek Bombasý
SKILL_SINCHAK	SKILL_SINCHAK Kullanýlamaz
SKILL_SLEEP	Uyku
SKILL_SLOW	Yavaþ
SKILL_STUN	Sersemletme
SKILL_SUHO	Koruma
SKILL_SUMMON_DESCRIPTION	Çaðýrma þansý: %%%d
SKILL_TOOLTIP_INT	Zeka
SKILL_TOOLTIP_LEVEL	Seviye
SKILL_TOXICDIE	Zehirleme
SKILL_TOXICPOWER	Zehirleme saldýrýsý yükseltildi.
SKILL_TUSOK	Hayalet Vuruþ
SKILL_WONSIN	SKILL_WONSIN Kullanýlamaz.
SKILL_YONGSIN	SKILL_YONGSIN Kullanýlamaz.
SKILL_BLEEDING	Kanama
SKILL_JEOKRANG	Kýrmýzý Kurt Ruhu
SKILL_CHEONGRANG	Çivit Kurt Ruhu
SKILL_AFFECT_REMOVE_QUESTION	Bu beceriyi kapatmak istiyor musun?
SOUL_STONE_HASNT_GRANDMASTER_SKILL	Grandmaster seviyede bir beceriye sahip deðilsin.
SOUL_STONE_ONLY_INVENTORY_WINDOW	Bu envanterden nesne sürükleyemezsin.
SOUL_STONE_ONLY_SOUL_STONE_ITEM	Sadece ruh taþý sürükleyebilirsin.
SOUL_STONE_HASNT_ITEM	Ruh taþýný pencereye sürükle.
SOUL_STONE_HASNT_SKILL	Bir beceri seç.
STAT_MINUS_CON	Canlýlýk Ayarý (Kalan þans: %d)
STAT_MINUS_DEX	Çeviklik Ayarý (Kalan þans: %d)
STAT_MINUS_INT	Zeka Ayarý (Kalan þans: %d)
STAT_MINUS_STR	Güç Ayarý (Kalan þans: %d)
STAT_TOOLTIP_CON	HP ve Savunma'yý arttýrýyor
STAT_TOOLTIP_DEX	Saldýrý ve Savuþturma'yý arttýryor
STAT_TOOLTIP_INT	SP, Büyülü Saldýrý ve Savunma'yý artýrýyor
STAT_TOOLTIP_STR	Saldýrý Deðeri'ni ve Hasarý arttýrýyor
SYMBOLLIST_TITLE	Lonca Bayraðý kaydedildi.
SYSTEM_OPTION_CPU_TILING_1	CPU modu zayýf bilgisayarlarýn daha hýzlý çalýþmasýný saðlar.
SYSTEM_OPTION_CPU_TILING_2	Eðer grafiklerde problem varsa diðer seçeneði iþaretleyiniz ,Sistem seçenekleri‘ veya ,CONFIG.exe‘
SYSTEM_OPTION_CPU_TILING_3	ve GPU modunu seçin.
SYSTEM_OPTION_GPU_TILING_1	GPU Modu zayýf bilgisayarlarý daha yavaþ çalýþtýrýr.
SYSTEM_OPTION_GPU_TILING_2	Grafik ile ilgili sorunlarda, 'Sistem Seçenekleri' veya 'CONFIG.exe'yi seç
SYSTEM_OPTION_GPU_TILING_3	GPU modunu deðiþtirin.
SYSTEM_OPTION_TILING_EXIT	Tiling-Modu deðiþimi için oyun yeniden baþlatýlmalý.
TARGET_BUTTON_ACCEPT_FIGHT	Anlaþma
TARGET_BUTTON_AVENGE	Ýntikam
TARGET_BUTTON_BUILDING_DESTROY	Yýkmak
TARGET_BUTTON_DISMOUNT	Ýnmek
TARGET_BUTTON_EMOTION_ALLOW	Duygular
TARGET_BUTTON_EXCHANGE	Ticaret
TARGET_BUTTON_EXCLUDE	Reddetmek
TARGET_BUTTON_EXIT_OBSERVER	Gözlemci Modunu Bitir
TARGET_BUTTON_FIGHT	Düello
TARGET_BUTTON_FRIEND	Dost
TARGET_BUTTON_INVITE_GUILD	Lonca daveti
TARGET_BUTTON_INVITE_PARTY	Grup daveti
TARGET_BUTTON_LEAVE_PARTY	Grubu terket
TARGET_BUTTON_REQUEST_ENTER_PARTY	Gruba katýl
TARGET_BUTTON_VIEW_EQUIPMENT	Zýrh
TARGET_BUTTON_WHISPER	Fýsýldama
TARGET_BUTTON_BLOCK	Engelle
TARGET_BUTTON_UNBLOCK	Engellemeyi kaldýr
TARGET_BUTTON_REVIVE	Dirilt
TARGET_LEVEL_BOSS	Patron
TARGET_LEVEL_KING	5.Seviye
TARGET_LEVEL_KNIGHT	3.Seviye
TARGET_LEVEL_PAWN	1.Seviye
TARGET_LEVEL_S_KNIGHT	4.Seviye
TARGET_LEVEL_S_PAWN	2.Seviye
TARGET_INFO_RESISTS	Dayanýklýlýk:
TARGET_INFO_RESISTS_LINE0	Kýlýç: %d%% Çiftel: %d%% Çan: %d%%
TARGET_INFO_RESISTS_LINE1	Býçak: %d%% Yelpaze: %d%% Yay: %d%%
TARGET_INFO_REGEN_INFO	Can yenileme %d%%, her %d san.
TARGET_INFO_GOLD_MIN_MAX	Yang: %s ~ %s
TARGET_INFO_NEWRACE_INSECT	Böcek
TARGET_INFO_NEWRACE_FIRE	Ateþ
TARGET_INFO_NEWRACE_ICE	Buz
TARGET_INFO_NEWRACE_DESERT	Çöl
TARGET_INFO_NEWRACE_TREE	Aðaç
TARGET_INFO_DAMAGE	Damage : %s - %s
TARGET_INFO_DEFENSE	Defans : %s
TARGET_INFO_EXP	Tecrübe : %s
TARGET_INFO_MAINRACE	Irk : %s
TARGET_INFO_MAX_HP	Max. HP : %s
TARGET_INFO_NO_ITEM_TEXT	Düþürebilecek eþya yok. 
TARGET_INFO_NO_RACE	Belirsiz
TARGET_INFO_RACE_METIN	Metin
TARGET_INFO_RACE_ANIMAL	Hayvan
TARGET_INFO_RACE_DARK	Karanlýk 
TARGET_INFO_RACE_DEVIL	Þeytan
TARGET_INFO_RACE_EARTH	Toprak
TARGET_INFO_RACE_ELEC	Yýldýrým 
TARGET_INFO_RACE_FIRE	Ateþ
TARGET_INFO_RACE_HUMAN	Yarý insan
TARGET_INFO_RACE_ICE	Buz
TARGET_INFO_RACE_MILGYO	Mistik 
TARGET_INFO_RACE_ORC	Ork
TARGET_INFO_RACE_UNDEAD	Ölümsüz
TARGET_INFO_RACE_WIND	Rüzgar
TARGET_INFO_STONE_NAME	Hayalet Taþý
TARGET_INFO_SUBRACE	Tür : %s
TASKBAR_ATTACK	Atak
TASKBAR_AUTO	Otomatik Saldýrý
TASKBAR_CAMERA	Kamera
TASKBAR_EXP	Deneyim
TASKBAR_HP	HP
TASKBAR_MOVE	ilerle
TASKBAR_SKILL	Beceri
TASKBAR_SP	SP
TASKBAR_ST	ST
THING_COUNT	hepsi
TIME_MIN_SEC	%dDk.:%dSn.
TIME_MIN	%dDk.
TOOLTIP_ANTI_CRITICAL_PCT	Kritik Vuruþ Direnci +%%%d	SA
TOOLTIP_ANTI_PENETRATE_PCT	Delici Vuruþ Direnci +%%%d	SA
TOOLTIP_ANTI_SELL	Depoda satýlamaz
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Hayvanlara karþý güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Ninjalara karþý güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Þeytanlara karþý güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Yarý insanlara karþý güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Mistiklere karþý güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Canavarlara karþý güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Orklara karþý güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Þamanlara karþý güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Suralara karþý güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Ölümsüzlere karþý güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Savasçýlara karþý güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Lycanlar'a karþý güçlü + %%%d	SA
TOOLTIP_APPLY_BLEEDING_PCT	Kanama Saldýrýsý +%%%d	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Kanama saldýrýlarýnda direnç +%%%d	SA
TOOLTIP_APPLY_BLOCK	Yakýn dövüþ saldýrýlarý bloklama þansý: %%%d	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Savaþta her 5 saniyede SP yenile %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	Kritik Vuruþ Þansý: +%%%d	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	Vuruþ yapýldýðýnda Sp geri kazaným þansý %%%d	SA
TOOLTIP_APPLY_DODGE	Oklardan korunma þansý %%%d	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	EXP Bonus þansý %%%d	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	Ýki kat Yang düþme þansý %%%d	SA
TOOLTIP_APPLY_IMMUNE_FALL	Yere düþme karþýsýnda baðýþýklýk	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Yavaþlama karþýsýnda baðýþýklýk	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Sersemlik karþýsýnda baðýþýklýk	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	Ýki Kat eþya düþme þansý %%%d	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	HP yenileme þansý %%%d	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	SP yenileme þansý %%%d	SA
TOOLTIP_APPLY_MANA_BURN_PCT	SP çalma þansý %%%d	SA
TOOLTIP_APPLY_MAX_HP_PCT	Maks. HP %%%d	SA
TOOLTIP_APPLY_MAX_SP_PCT	Maks. SP +%%%d	SA
TOOLTIP_APPLY_NOAFFECT	Efekt yok.
TOOLTIP_APPLY_NO_DEATH_PENALTY	Karakter ölüp burada baþla dediðinde deneyim kaybetmeyecek.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	Delici Vuruþ için þansý %%%d	SA
TOOLTIP_APPLY_POISON_PCT	Zehirleme þansý %%%d	SA
TOOLTIP_APPLY_POISON_REDUCE	Zehre karþý koyma %%%d	SA
TOOLTIP_APPLY_POTION_BONUS	Ýksir etkisi %%%d yükseldi	SA
TOOLTIP_APPLY_REFLECT_CURSE	Lanet Yansýtýlmasý: %%%d	SA
TOOLTIP_APPLY_REFLECT_MELEE	Yakýn dövüþ vuruþlarýný yansýtma þansý: %%%d	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Ninja saldýrýlarýna karþý savunma þansý %%%d	SA
TOOLTIP_APPLY_RESIST_BELL	Çan Savunmasý %%%d	SA
TOOLTIP_APPLY_RESIST_CLAW	Pençe savunmasý +%d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Býçak Savunmasý %%%d	SA
TOOLTIP_APPLY_RESIST_FAN	Yelpaze Savunmasý %%%d	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Þaman saldýrýlarýna karþý savunma þansý: %%%d	SA
TOOLTIP_APPLY_RESIST_SURA	Sura saldýrýlarýna karþý savunma þansý: %%%d	SA
TOOLTIP_APPLY_RESIST_SWORD	Kýlýç Savunmasý %%%d	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Çift-El Savunma %%%d	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Savaþçý saldýrýlarýna karþý savunma þansý: %%%d	SA
TOOLTIP_APPLY_RESIST_WIND	Rüzgar Dayanýklýlýðý %%%d	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Lycanlar'a karþý savunma þansý +%%%d	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Kitaptan öðrenme þansý 2,5 arttý.	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Öðrenme baþarýsýz olursa, anýnda bir kere daha deneme þansýna sahipsin.	SNA
TOOLTIP_APPLY_SLOW_PCT	Yavaþlama þansý: %%%d	SA
TOOLTIP_APPLY_STEAL_HP	%%%d hasar, HP ile absorbe edilecek	SA
TOOLTIP_APPLY_STEAL_SP	%%%d hasar, SP ile absorbe edilecek.	SA
TOOLTIP_APPLY_STUN_PCT	Bayýlma þansý: %%%d	SA
TOOLTIP_ARMOR	Zýrh
TOOLTIP_ARROW	Ok
TOOLTIP_CLAW	Pençe
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Saldýrý Deðeri +%d	SA
TOOLTIP_ATT_SPEED	Saldýrý Hýzý +%%%d	SA
TOOLTIP_AUTO_POTION_HP	Güneþ Özütü
TOOLTIP_AUTO_POTION_REST	Kalan miktar: %.2f%%
TOOLTIP_AUTO_POTION_SP	Ay Özütü
TOOLTIP_AUTO_POTION_USING	Etkin
TOOLTIP_BOW_DISTANCE	Yay Menzili +%dm	SA
TOOLTIP_CAST_SPEED	Büyü Hýzý +%%%d	SA
TOOLTIP_CON	Canlýlýk +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Kostüm bonusu %%%d	SA
TOOLTIP_DEF_GRADE	Savunma +%d	SA
TOOLTIP_DEX	Çeviklik +%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Gökyüzü	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Dünya	SNA
TOOLTIP_EAR	Küpe
TOOLTIP_ENERGY	Enerji %d	SA
TOOLTIP_ETC	v.b.
TOOLTIP_FISHINGROD_EXP	Puanlar %d / %d
TOOLTIP_FISHINGROD_LEVEL	Seviye: %d
